path,modality,vocal_channel,emotion,emotional_intensity,statement,repetition,actor,mfcc,chroma,zcr,rms
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_02\03-01-06-02-01-01-02.wav,03,01,06,02,01,01,02,0.2757340780502667,0.12872146321005112,1.230566445809545,0.19400241661137033
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_21\03-01-07-01-01-02-21.wav,03,01,07,01,01,02,21,-0.7143451165793883,0.39826114920417416,-0.09055308658856419,-0.14410554174139753
D:\Projects\emotion-detection-knn\audio_data\Actor_13\03-01-05-01-02-01-13.wav,03,01,05,01,02,01,13,-1.3323267664531602,0.42534496043485914,0.1715500136817542,-0.26433837817265987
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_19\03-01-05-01-02-02-19.wav,03,01,05,01,02,02,19,-0.6561772056051911,-1.388412413888227,-0.6551481862572789,-0.07339288563660878
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_20\03-01-02-02-01-01-20.wav,03,01,02,02,01,01,20,-0.20479503945158234,-0.7597286559842701,-1.8014320660471208,-0.7747489280705634
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_14\03-01-02-02-02-02-14.wav,03,01,02,02,02,02,14,-0.9370039769010283,-1.687242422906654,-0.6614954295633565,-0.6985749900001702
D:\Projects\emotion-detection-knn\audio_data\Actor_22\03-01-06-01-02-02-22.wav,03,01,06,01,02,02,22,-0.22004580570228946,-1.4014658327469574,0.2587118938875702,-0.26746166832077345
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_17\03-01-03-02-02-01-17.wav,03,01,03,02,02,01,17,-0.9926375951836001,-0.8036562452144743,-0.4046998431213099,0.6038402568857957
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_14\03-01-04-01-01-01-14.wav,03,01,04,01,01,01,14,-0.11528919881565716,-0.9369970234392391,0.4873765023957249,-0.6922559832257821
D:\Projects\emotion-detection-knn\audio_data\Actor_18\03-01-04-01-02-01-18.wav,03,01,04,01,02,01,18,0.2698670386374103,-0.9171572444885856,-1.5217745273643688,-0.5815476355630242
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_24\03-01-02-02-01-01-24.wav,03,01,02,02,01,01,24,-0.4928382988855392,-1.0121829313556225,-0.5975215510854689,-0.6104433590073224
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_07\03-01-02-01-02-02-07.wav,03,01,02,01,02,02,07,0.12014620719676951,-1.085008201512719,-0.019140001429176857,-0.6655436332748108
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_04\03-01-06-02-01-02-04.wav,03,01,06,02,01,02,04,-1.7717532485527099,-0.7862368249379519,1.132982528453114,1.1186362707253832
D:\Projects\emotion-detection-knn\audio_data\Actor_20\03-01-04-01-02-01-20.wav,03,01,04,01,02,01,20,-0.3615319888707166,-1.797662741228404,-0.42314500694571927,-0.7699459946536363
D:\Projects\emotion-detection-knn\audio_data\Actor_17\03-01-06-01-01-02-17.wav,03,01,06,01,01,02,17,-1.3908189143038807,-2.0604236322822977,-1.437542693899551,0.19154724037977616
D:\Projects\emotion-detection-knn\audio_data\Actor_03\03-01-03-01-01-01-03.wav,03,01,03,01,01,01,03,1.0168937676756151,0.7335509565096681,0.48853499526179495,-0.2083933995868437
D:\Projects\emotion-detection-knn\audio_data\Actor_15\03-01-03-01-01-01-15.wav,03,01,03,01,01,01,15,0.3631834963236908,-1.7329721280532373,-0.5125826355960832,-0.42538963840257465
D:\Projects\emotion-detection-knn\audio_data\Actor_03\03-01-02-01-01-01-03.wav,03,01,02,01,01,01,03,0.9337258430355008,0.16820402284961689,-0.7181499644090106,-0.6024064612734065
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_21\03-01-02-02-01-01-21.wav,03,01,02,02,01,01,21,-0.4382001120630875,-0.31703307842251277,-0.3334418101632665,-0.5287552432288475
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_03\03-01-07-01-02-01-03.wav,03,01,07,01,02,01,03,1.1720901066173428,-0.3077067529125952,1.4835676519626761,-0.5182542176761489
D:\Projects\emotion-detection-knn\audio_data\Actor_08\03-01-02-02-02-02-08.wav,03,01,02,02,02,02,08,-0.6503964035914401,-1.888866187652927,-0.5211193039580165,-0.6850149629709841
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-08-02-01-02-01.wav,03,01,08,02,01,02,01,0.2778270972417982,1.4130362438977297,-1.1440074333660195,-0.09990504554682017
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_04\03-01-08-01-01-01-04.wav,03,01,08,01,01,01,04,1.1202281451300908,-1.0028138630809251,-0.19583902960607744,-0.3344447676905949
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_04\03-01-08-01-02-01-04.wav,03,01,08,01,02,01,04,1.2245499145612264,-1.1058371021155327,1.0736915563541125,-0.002786834797427809
D:\Projects\emotion-detection-knn\audio_data\Actor_20\03-01-08-02-01-01-20.wav,03,01,08,02,01,01,20,-1.1218820867765156,-1.4251412310285685,0.6118988153289028,0.16237971419721076
D:\Projects\emotion-detection-knn\audio_data\Actor_14\03-01-07-02-01-01-14.wav,03,01,07,02,01,01,14,-1.40292860692521,-1.5408141317856128,2.4175977142142604,-0.13078720756629936
D:\Projects\emotion-detection-knn\audio_data\Actor_03\03-01-08-01-02-01-03.wav,03,01,08,01,02,01,03,0.7541713956598844,0.06228108430604485,0.18326690166274073,-0.3455162534813934
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_19\03-01-05-01-02-01-19.wav,03,01,05,01,02,01,19,-0.7674206342993739,-1.724745120436998,-0.6477172270332978,-0.4453410986843099
D:\Projects\emotion-detection-knn\audio_data\Actor_15\03-01-07-02-02-01-15.wav,03,01,07,02,02,01,15,-0.98107318634687,-1.2804771069646872,-1.1532236922274604,-0.03445104002491565
D:\Projects\emotion-detection-knn\audio_data\Actor_08\03-01-04-02-02-02-08.wav,03,01,04,02,02,02,08,1.1123708449766083,-0.044434755653199744,-1.0968600177169512,-0.4256305174760091
D:\Projects\emotion-detection-knn\audio_data\Actor_20\03-01-07-01-01-01-20.wav,03,01,07,01,01,01,20,-0.5064296861799825,-0.9776194090517506,-0.4269740265562118,-0.5441381389218622
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_05\03-01-04-01-02-01-05.wav,03,01,04,01,02,01,05,-0.3044126087240277,0.614614893684554,-0.6135859488395982,-0.7555998555131741
D:\Projects\emotion-detection-knn\audio_data\Actor_10\03-01-01-01-02-02-10.wav,03,01,01,01,02,02,10,-0.1351467278740246,0.7438321160485457,1.8044030965427567,-0.19141468003232537
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_07\03-01-02-02-01-01-07.wav,03,01,02,02,01,01,07,-0.6605272652977731,-0.4439131559726265,0.5247402341060939,-0.6765972158912326
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_02\03-01-03-01-01-02-02.wav,03,01,03,01,01,02,02,-1.0223714338093934,-0.3706480576055644,-0.06594322318448213,-0.3540349093621784
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_15\03-01-06-01-02-02-15.wav,03,01,06,01,02,02,15,-0.22416017604958488,-0.28679459505976457,1.2704714940965505,-0.31693383558869087
D:\Projects\emotion-detection-knn\audio_data\Actor_24\03-01-08-01-02-01-24.wav,03,01,08,01,02,01,24,-0.8114903687673388,-0.3731729778343132,1.0554844691367313,-0.31269892106790326
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_07\03-01-03-01-02-02-07.wav,03,01,03,01,02,02,07,-0.3800687754651683,0.054134754283804785,0.341157877884427,-0.4941842135070758
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_21\03-01-01-01-02-02-21.wav,03,01,01,01,02,02,21,-0.10325011361563194,-1.652000183148785,-0.7961170291429336,-0.4173966848239474
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_12\03-01-08-01-02-02-12.wav,03,01,08,01,02,02,12,-0.9408501285638998,-0.48890919422337575,1.1701384242340218,-0.2866856086982842
D:\Projects\emotion-detection-knn\audio_data\Actor_03\03-01-02-01-02-01-03.wav,03,01,02,01,02,01,03,1.1058406071441516,-0.05192934213915811,0.09144190897608213,-0.5836480034296947
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_12\03-01-04-01-02-02-12.wav,03,01,04,01,02,02,12,-0.21434098206604052,0.3692605483179071,1.409280602773415,-0.4703298612111788
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_23\03-01-04-02-02-01-23.wav,03,01,04,02,02,01,23,-1.6880812449882534,0.15873687290680066,-0.1934731089593301,-0.4944836847875619
D:\Projects\emotion-detection-knn\audio_data\Actor_05\03-01-04-01-01-01-05.wav,03,01,04,01,01,01,05,-0.8237978725397334,0.8794455829804927,-1.0236753786826351,-0.7611034540727604
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,03,01,02,01,01,01,01,0.7611036804355787,0.5410541075157574,-1.2803923393630072,-0.689848820052744
D:\Projects\emotion-detection-knn\audio_data\Actor_07\03-01-06-02-01-01-07.wav,03,01,06,02,01,01,07,-1.1587538831926123,0.15061583824748778,0.8265559419879906,0.6097499319914758
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_24\03-01-08-01-01-02-24.wav,03,01,08,01,01,02,24,0.17388617553854105,-1.7108433025945144,0.7435551790154032,-0.21487923139519832
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_17\03-01-04-02-01-02-17.wav,03,01,04,02,01,02,17,-0.39493578265701923,-1.0287459580862603,-1.2508455478884755,-0.14152341572785807
D:\Projects\emotion-detection-knn\audio_data\Actor_23\03-01-08-01-01-02-23.wav,03,01,08,01,01,02,23,-1.0610950095561886,-0.5015172089842219,0.5712492965432467,-0.03319212135395898
D:\Projects\emotion-detection-knn\audio_data\Actor_02\03-01-08-02-01-01-02.wav,03,01,08,02,01,01,02,-0.3800916298413085,0.7131730688559328,0.8624725198191503,-0.1300865424236403
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_14\03-01-06-01-02-01-14.wav,03,01,06,01,02,01,14,0.6574330576567862,-2.0241722949980145,1.25377973974053,-0.638621327915238
D:\Projects\emotion-detection-knn\audio_data\Actor_02\03-01-04-01-02-02-02.wav,03,01,04,01,02,02,02,0.21153388150449393,1.490913967576586,-0.9342905337603884,-0.5831442732051814
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_20\03-01-04-01-02-02-20.wav,03,01,04,01,02,02,20,-0.26039119808949485,-1.589291850979733,-0.8667235129570315,-0.7715792524252006
D:\Projects\emotion-detection-knn\audio_data\Actor_08\03-01-08-02-02-02-08.wav,03,01,08,02,02,02,08,-1.4644965828786147,1.6685137394671492,0.045107692638317425,-0.03416052033161799
D:\Projects\emotion-detection-knn\audio_data\Actor_17\03-01-03-02-01-02-17.wav,03,01,03,02,01,02,17,-0.3402818723179894,-1.8831448443829646,-0.30715386406946305,1.423195307857169
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_15\03-01-06-01-02-01-15.wav,03,01,06,01,02,01,15,-0.4619267376020681,-0.42416641191281074,-0.7740924687555856,-0.28735697773741753
D:\Projects\emotion-detection-knn\audio_data\Actor_17\03-01-08-01-01-01-17.wav,03,01,08,01,01,01,17,0.7408515664931078,-1.7278539961839545,-0.4338870454480441,-0.14947161137054302
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_18\03-01-06-01-02-02-18.wav,03,01,06,01,02,02,18,0.4129628452467833,-0.5232527025373211,-0.2805090779803675,-0.24273168804171588
D:\Projects\emotion-detection-knn\audio_data\Actor_06\03-01-02-01-01-01-06.wav,03,01,02,01,01,01,06,-0.7656374955548423,0.5425112749393809,-1.2326461582981112,-0.7511875368099247
D:\Projects\emotion-detection-knn\audio_data\Actor_17\03-01-08-01-01-02-17.wav,03,01,08,01,01,02,17,-0.8394944898464946,-2.056988329977555,-0.88111477649595,-0.11915339934393586
D:\Projects\emotion-detection-knn\audio_data\Actor_22\03-01-06-02-01-02-22.wav,03,01,06,02,01,02,22,1.487059197509682,-1.3353651705170306,0.610676542124692,0.2613452070300365
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_17\03-01-06-01-01-01-17.wav,03,01,06,01,01,01,17,-0.3659706077033861,-0.6581493305707623,-1.5864681339683526,-0.07367282618141094
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_21\03-01-08-02-01-02-21.wav,03,01,08,02,01,02,21,-1.7046812748868394,-1.689929272918571,-0.276619577014741,0.3026372511690229
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_10\03-01-04-02-01-02-10.wav,03,01,04,02,01,02,10,-0.37803504514541375,-0.010073575900669141,1.2252770763878142,-0.2683202069102106
D:\Projects\emotion-detection-knn\audio_data\Actor_10\03-01-07-01-02-01-10.wav,03,01,07,01,02,01,10,-0.49190418242286216,-1.041410655411752,1.6764256487399158,-0.345255843672275
D:\Projects\emotion-detection-knn\audio_data\Actor_04\03-01-01-01-02-01-04.wav,03,01,01,01,02,01,04,0.2592633920329015,1.5087398349677636,-1.098532602101661,-0.6147962717228668
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_04\03-01-05-02-02-02-04.wav,03,01,05,02,02,02,04,-1.0550560234144437,-1.0635126080724584,2.0367444216125663,1.273549997266639
D:\Projects\emotion-detection-knn\audio_data\Actor_22\03-01-06-02-02-01-22.wav,03,01,06,02,02,01,22,0.9846105391440086,-1.1045144849542625,1.6384950417827895,0.48002027533392744
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_15\03-01-07-02-01-01-15.wav,03,01,07,02,01,01,15,0.09897904096970249,-0.13015889270141126,-0.47142837241030694,-0.18026507129879138
D:\Projects\emotion-detection-knn\audio_data\Actor_10\03-01-04-02-01-02-10.wav,03,01,04,02,01,02,10,0.17950797537478472,1.4042623572030288,1.2252770763878142,-0.2683202069102106
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_09\03-01-08-01-02-02-09.wav,03,01,08,01,02,02,09,-1.5228734682523204,0.4600541883760642,-1.0037275280983926,-0.7130497064838845
D:\Projects\emotion-detection-knn\audio_data\Actor_04\03-01-08-02-01-01-04.wav,03,01,08,02,01,01,04,-0.42591097264313127,0.0817947439584637,0.2891318161980385,0.6929411006369558
D:\Projects\emotion-detection-knn\audio_data\Actor_21\03-01-05-02-01-02-21.wav,03,01,05,02,01,02,21,-1.0220797435691829,-0.6149484809073159,0.5480574460018095,3.5623585396216555
D:\Projects\emotion-detection-knn\audio_data\Actor_16\03-01-02-01-01-02-16.wav,03,01,02,01,01,02,16,-1.0137013433392235,0.03618230066862574,-0.6545466716889448,-0.5666123192294318
D:\Projects\emotion-detection-knn\audio_data\Actor_06\03-01-06-02-02-01-06.wav,03,01,06,02,02,01,06,0.34849474095970917,-0.32547429537140765,3.3427403162441336,2.1627135940367683
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_04\03-01-02-02-01-02-04.wav,03,01,02,02,01,02,04,0.6740066213302535,-1.1350999124582943,1.2561352136077544,-0.6085789875301655
D:\Projects\emotion-detection-knn\audio_data\Actor_24\03-01-02-02-02-01-24.wav,03,01,02,02,02,01,24,-0.2441459016020508,0.15409376545144804,-0.6099895075311215,-0.6547349986350911
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_10\03-01-02-02-02-01-10.wav,03,01,02,02,02,01,10,-0.1684734868895808,0.22361967377711936,1.3870619522191368,-0.06564325247337655
D:\Projects\emotion-detection-knn\audio_data\Actor_16\03-01-08-01-02-02-16.wav,03,01,08,01,02,02,16,-0.45228670453833353,-1.1975913974062449,-0.09815394343742201,0.36910034470126124
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_06\03-01-01-01-01-02-06.wav,03,01,01,01,01,02,06,-1.4437658514948621,-0.466194089860973,0.0752021152920642,-0.6603321819698293
D:\Projects\emotion-detection-knn\audio_data\Actor_01\03-01-03-02-01-02-01.wav,03,01,03,02,01,02,01,0.3380240791903128,0.9336459303461425,-0.8829253683364658,-0.18885940878035135
D:\Projects\emotion-detection-knn\audio_data\Actor_10\03-01-05-01-01-02-10.wav,03,01,05,01,01,02,10,0.5504755228519523,0.9223362901009573,1.8427515746808103,0.6008821642103415
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_12\03-01-04-01-01-02-12.wav,03,01,04,01,01,02,12,-0.018909764693562207,-0.35226535432062556,-0.5195665826225728,-0.4324915021656249
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_06\03-01-06-02-01-01-06.wav,03,01,06,02,01,01,06,-0.3073314707500059,0.01866763578500886,2.2638645562427957,3.700610107282603
D:\Projects\emotion-detection-knn\audio_data\Actor_02\03-01-02-02-01-02-02.wav,03,01,02,02,01,02,02,-0.39865266254371623,1.543047591269078,-0.8669154038019572,-0.5866109787890698
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_16\03-01-08-02-01-01-16.wav,03,01,08,02,01,01,16,-0.4947946844826075,0.5686242078986126,-0.7998921653643064,-0.14203609753955979
D:\Projects\emotion-detection-knn\audio_data\Actor_11\03-01-03-02-01-01-11.wav,03,01,03,02,01,01,11,-0.17619780646745858,0.5723141448885655,-1.2067909288087668,0.41485109304074624
D:\Projects\emotion-detection-knn\audio_data\Actor_08\03-01-08-01-01-01-08.wav,03,01,08,01,01,01,08,-0.8178407444932988,0.07027130372992466,-0.38101204546777284,-0.532129991598891
D:\Projects\emotion-detection-knn\audio_data\Actor_06\03-01-02-02-02-01-06.wav,03,01,02,02,02,01,06,-0.1372571954946048,0.7373884165797798,-0.21836118659702927,-0.6894614604616804
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_02\03-01-06-02-01-02-02.wav,03,01,06,02,01,02,02,0.0019603938586191705,-0.3339595398576487,1.3737346107000776,0.4965790840712425
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_09\03-01-06-02-01-02-09.wav,03,01,06,02,01,02,09,-0.7192494783282372,-0.6914197872675535,0.6080571496168824,-0.7004922572198042
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_07\03-01-02-02-01-02-07.wav,03,01,02,02,01,02,07,0.7383889929851933,0.2538546200274185,1.3635786915120534,-0.6707599672637133
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_18\03-01-03-02-01-01-18.wav,03,01,03,02,01,01,18,-0.20961945098938445,-1.5301408001318166,-0.4607484647546201,1.8776446035561867
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_08\03-01-03-01-02-01-08.wav,03,01,03,01,02,01,08,-0.8300947124177404,0.06142032735865473,-0.6037456323592733,-0.517372893228414
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_19\03-01-04-02-02-01-19.wav,03,01,04,02,02,01,19,-0.54330139283978,-1.4970239074325915,-0.954219140277088,-0.5221245584641707
D:\Projects\emotion-detection-knn\audio_data\Actor_13\03-01-01-01-01-01-13.wav,03,01,01,01,01,01,13,0.6134411882582882,-0.8697047539737478,-0.315411218536777,-0.6741900527181945
D:\Projects\emotion-detection-knn\audio_data\Actor_09\03-01-02-01-01-01-09.wav,03,01,02,01,01,01,09,0.790458251575764,0.7937391047020912,-0.9367653208463774,-0.7450972023991685
D:\Projects\emotion-detection-knn\audio_data\Actor_10\03-01-05-02-01-01-10.wav,03,01,05,02,01,01,10,1.538565899435029,0.13206758931090556,0.6617283041629196,3.081604598079068
D:\Projects\emotion-detection-knn\audio_data\Actor_23\03-01-03-01-02-02-23.wav,03,01,03,01,02,02,23,-0.5051761420713762,-0.7025888555709702,-1.4918829921655723,-0.3067485569295483
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_04\03-01-04-01-02-01-04.wav,03,01,04,01,02,01,04,-0.7056638877251327,-1.4808358457458344,0.860198970696608,-0.20039068064037455
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_05\03-01-07-01-01-01-05.wav,03,01,07,01,01,01,05,-1.1089494187470732,-0.044138602826481514,0.04727457464362355,-0.7443656135916766
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_16\03-01-01-01-02-02-16.wav,03,01,01,01,02,02,16,-0.32959837551216237,0.2333403540014083,0.04311895571540726,-0.4699986524852064
D:\Projects\emotion-detection-knn\audio_data\audio_speech_actors_01-24\Actor_13\03-01-01-01-02-02-13.wav,03,01,01,01,02,02,13,0.4510427214613782,-0.9922248022897495,0.08547844735985628,-0.6288274777504265
